N(059L,Champion 7GCBC Citabria,274-70,,,,,,,,
N1005P,Piaggio P.136-L1,207,,,,,,,,
N1005Q,Cessna 310H,0005,,,,,,,,
N1005R,Raven Rx.6,RX6-167,,,,,,,,
N1005X,PA.28 Warrior 151,28-7515372,,,,,,,,
N1005Y,Swearingen SA.226TC Metro II,TC307,,,,,,,,
N1005Z,,101,,,,,,,,
N1006,Smith DSA.1 Miniplane,B-1,,,,,,,,
N10060,Sikorsky S.62A,62-081,,,,,,,,
N10061,Air Tractor AT.401 Turbo Air Tractor,401-0696,,,,,,,,
N10062,Bensen B.8M,1276-1,,,,,,,,
N10063,Air Tractor AT.401 Turbo Air Tractor,401-0697,,,,,,,,
N10064,Schreder HP.10,1,,,,,,,,
N10065,Bell 47D.1,830,,,,,,,,
N10066,Rotorway Scorpion,923,,,,,,,,
N10067,SNIAS SA.315B Lama,2276,,,,,,,,
N10068,Cessna 150L,74765,,,,,,,,
N10069,Cessna 150L,74766,,,,,,,,
N1006A,Swearingen SA.226TC Metro II,TC309,,,,,,,,
N1006B,Ryan Navion A,NAV-4-1718,,,,,,,,
N1006C,Rockwell Commander 114,14361,,,,,,,,
N1006D,Cessna 190,7614,,,,,,,,
N1006E,Bellanca 8GCBC Scout,244-77,,,,,,,,
N1006H,Aeronca 15AC Sedan,15AC-8,,,,,,,,
N1006J,Aero Commander 112,126,,,,,,,,
N1006L,Swearingen SA.226TC Metro II,TC320,,,,,,,,
N1006P (C),PA.23 Apache,23-Aug,,,,,,,,
N1006Q,Steen Skybolt,PS.1,,,,,,,,
N1006R,Raven Rx.6,RX6-168,,,,,,,,
N1006S,Aero Commander 680E,385-67,,,,,,,,
N1006T (C),Rotec Rally,201,,,,,,,,
N1006U,Swearingen SA.226TC Metro II,TC331E,,,,,,,,
N1006V,Cessna R.172K Hawk XP,2076,,,,,,,,
N1006W,Mooeny M.20J-201,24-1069,,,,,,,,
N1006X,PA.32 Cherokee Six 260,32-7500035,,,,,,,,
N1006Y (C),Swearingen SA.226AT Merlin IVA,AT074,,,,,,,,
N1006Z,Schleicher K.7,1008,,,,,,,,
N1007,White WW.1 der Jager D.IX,007,,,,,,,,
N10070,Cessna 150L,74767,,,,,,,,
N10071,Cessna 150L,74768,,,,,,,,
N10072,Cessna 150L,74769,,,,,,,,
N10073,Cessna 150L,74770,,,,,,,,
N10074,Mooney 205,24-3096,,,,,,,,
N10075,Cessna 150L,74771,,,,,,,,
N10076,Cessna 150L,74772,,,,,,,,
N10077,Cessna 150L,74773,,,,,,,,
N10078,Cessna 150L,74774,,,,,,,,
N10079,Cessna 150L,74775,,,,,,,,
N1007A,Mooney M.20K-231,25-0559,,,,,,,,
N1007B,Swearingen SA.226T(B) Merlin IIIB,T327,,,,,,,,
N1007C,Lockheed 1049H Super Constellation,4805,,,,,,,,
N1007D,Cessna 195A,7615,,,,,,,,
N1007E,Aero Commander 680E,680E-739-36,,,,,,,,
N1007F,Beech 95.B55 Baron,TC-1163,,,,,,,,
N1007H,Aeronca 15AC Sedan,15AC-9,,,,,,,,
N1007J,Aero Commander 112,131,,,,,,,,
N1007K,Luscombe 8A Master,3734,,,,,,,,
N1007L,PA.28R Turbo Arrow 201T-III,28R-7703403,,,,,,,,
N1007M,Cessna 150G,65171,,,,,,,,
N1007N,Mooney M.20J-201,24-1098,,,,,,,,
N1007Q,Cessna 310H,0007,,,,,,,,
N1007R,Cessna 337 Super Skymaster,0229,,,,,,,,
N1007S,Rotec Rally,104,,,,,,,,
N1007T (C),Aero Commander 500,795,,,,,,,,
N1007U,Cessna 150B,59574,,,,,,,,
N1007V,Bellanca 17-31ATC Turbo Super Viking,73-31060,,,,,,,,
N1007W (C),Swearingen SA.226TC Metro IIA,TC346,,,,,,,,
N1007X,PA.34 Seneca 200T-II,34-7570182,,,,,,,,
N1007Y,QAC Quickie Q.2,2202,,,,,,,,
N1007Z,Bensen B.7MC,GN-1,,,,,,,,
N1008,Luscombe Phantom 1,108,,,,,,,,
N10080,Cessna 150L,74776,,,,,,,,
N10081,Cessna 177B Cardinal,02313,,,,,,,,
N10082,Cessna 150L,74778,,,,,,,,
N10083,Cessna 150L,74779,,,,,,,,
N10085,Cessna 150L,74781,,,,,,,,
N10086,Cessna 150L,74782,,,,,,,,
N10087,Cessna 150L,74783,,,,,,,,
N10088,Cessna 150L,74784,,,,,,,,
N10089,Cessna 150L,74785,,,,,,,,
N1008A,Cessna 402,0097,,,,,,,,
N1008B,Beagle B.206 Srs.2,055,,,,,,,,
N1008C,Mooney M.20J-201,24-1100,,,,,,,,
N1008D,Cessna 195A,7616,,,,,,,,
N1008E,Bellanca 7ECA Citabria,1202-77,,,,,,,,
N1008F,Swearingen SA.226TC Metro II,TC337,,,,,,,,
N1008G,Mooney M.20J-201,24-1101,,,,,,,,
N1008H,Beech D.45 Mentor,BG-273,,,,,,,,
N1008J,Beech 200 Super King Air,BB-250,,,,,,,,
N1008K,Mooney M.20J-201,24-1102,,,,,,,,
N1008L,Mooney M.20J-201,24-1103,,,,,,,,
N1008M,Cessna 172L Skyhawk,59408,,,,,,,,
N1008N,PA.23 Aztec 250E,27-7305152,,,,,,,,
N1008P,PA.23 Apache,23-Oct,,,,,,,,
N1008Q (C),Cessna 310H,0008,,,,,,,,
N1008R,Rockwell Commander 112TCA,13259,,,,,,,,
N1008S,Mooney M.20J-201,24-1104,,,,,,,,
N1008U,Swearingen SA.226T(B) Merlin IIIB,T351,,,,,,,,
N1008V,Cessna U.206F Stationair 6,02392,,,,,,,,
N1008W,Beech 95.C55 Baron,TE-10,,,,,,,,
N1008X,PA.28 Warrior 151,28-7515373,,,,,,,,
N1008Z,Smith DSA.1 Miniplane,1,,,,,,,,
N1009,Vancraft Gyrocopter,1001,,,,,,,,
N10090,Cessna 150L,74786,,,,,,,,
N10091,Cessna 150L,74787,,,,,,,,
N10092,Cessna 150L,74788,,,,,,,,
N10093,Cessna 150L,74789,,,,,,,,
N10094,Cessna 150L,74790,,,,,,,,
N10096,Cessna 150L,74791,,,,,,,,
N10097,Cessna 150L,74792,,,,,,,,
N10098,Cessna 150L,74793,,,,,,,,
N10099,Mitchell Wing B.10,B-802,,,,,,,,
N1009A,PA.18 Super Cub,18-581,,,,,,,,
N1009B,Rotec Rally,102,,,,,,,,
N1009C,Mooney M.20J-201,24-1105,,,,,,,,
N1009D,Cessna 195A,7617,,,,,,,,
N1009E,Bellanca 7KCAB Citabria,606-77,,,,,,,,
N1009F,Cessna 172N Skyhawk,72930,,,,,,,,
N1009H,Aeronca 15AC Sedan,15AC-11,,,,,,,,
N1009J (C),Swearingen SA.226TC Metro IIA,TC377,,,,,,,,
N1009K,Luscombe 8A Master,3736,,,,,,,,
N1009L,Lake LA.4,252,,,,,,,,
N1009N,Curtiss P.40N Warhawk,31423,,,,,,,,
N1009P,Cessna 182A Skylane,34994,,,,,,,,
N1009Q,Cessna 310H,0009,,,,,,,,
N1009R,Swearingen SA.226TC Metro IIA,TC358,,,,,,,,
N1009S,PA.31 Navajo,31-329,,,,,,,,
N1009V,Cessna R.172K Hawk XP,2077,,,,,,,,
N1009W,Mitchell Wing U.2,386,,,,,,,,
N1009X,PA.28 Archer 180,28-7505194,,,,,,,,
N1009Y,Swearingen SA.226T(B) Merlin IIIB,T369,,,,,,,,
N1009Z,Wittman W.8 Tailwind,DG1,,,,,,,,
N100A,Grumman G.1159C Gulfstream 4,1072,,,,,,,,
N100A (C),Grumman G.1159A Gulfstream 3,370,,,,,,,,
N100AA,Kinner Sportster 1,66,,,,,,,,
N100AB,Helio H.295 Super Courier,1478,,,,,,,,
N100AC,Cessna 550 Citation II,550-0364,,,,,,,,
N100AD,Cessna 500 Citation II,550-0226,,,,,,,,
N100AE,PA.32RT Lance 300-II,32R-7985058,,,,,,,,
N100AF,PA.31 Navajo,31-347,,,,,,,,
N100AG,IAI.1124A Westwind 2,346,,,,,,,,
N100AH,Cessna 182P Skylane,64124,,,,,,,,
N100AJ,Cessna 421B Golden Eagle,0322,,,,,,,,
N100AK,PA.42 Cheyenne 1000 400LS,42-5527010  ex N307CA,,,,,,,,
N100AK (C),IAI.1124 Westwind 1,295  to N100AQ,,,,,,,,
N100AL,Cameron O.77,317,,,,,,,,
N100AM,Rockwell Commander 690B,11361,,,,,,,,
N100AN,Beech 100 King Air,B-209,,,,,,,,
N100AP,DHC.6 Twin Otter,22,,,,,,,,
